date,customer_name,price_per_item,items_ordered
2024-08-01,Customer X,10.00,2
2024-08-02,Customer Y,20.00,1
2024-08-03,Customer Z,15.00,4
2024-08-04,Customer A,12.50,3
2024-08-05,Customer B,25.00,2
2024-08-06,Customer C,8.75,5
2024-08-07,Customer D,18.00,1
2024-08-08,Customer E,22.50,3
2024-08-09,Customer F,30.00,4
2024-08-10,Customer G,17.50,2
2024-08-11,Customer H,11.00,6
2024-08-12,Customer I,21.00,2
2024-08-13,Customer J,14.50,3
2024-08-14,Customer K,19.00,1
2024-08-15,Customer L,23.75,5
2024-08-16,Customer M,13.00,4
2024-08-17,Customer N,27.50,3
2024-08-18,Customer O,16.25,2
2024-08-19,Customer P,29.00,4
2024-08-20,Customer Q,10.50,7
2024-08-21,Customer R,24.00,2
2024-08-22,Customer S,18.75,4
2024-08-23,Customer T,27.00,3
2024-08-24,Customer U,15.50,6
2024-08-25,Customer V,22.00,2
2024-08-26,Customer W,20.00,5
2024-08-27,Customer X,12.00,3
2024-08-28,Customer Y,17.50,1
2024-08-29,Customer Z,14.75,4
2024-08-30,Customer A,30.00,2
2024-08-31,Customer B,13.50,5
2024-09-01,Customer C,26.00,3
2024-09-02,Customer D,19.75,4
2024-09-03,Customer E,22.50,2
2024-09-04,Customer F,15.00,6
2024-09-05,Customer G,28.00,1
2024-09-06,Customer H,12.50,4
2024-09-07,Customer I,25.75,3
2024-09-08,Customer J,20.00,2
2024-09-09,Customer K,16.00,5
2024-09-10,Customer L,24.25,4
2024-09-11,Customer M,18.00,6
2024-09-12,Customer N,30.00,3
2024-09-13,Customer O,22.75,2
2024-09-14,Customer P,27.00,5
2024-09-15,Customer Q,19.50,3
2024-09-16,Customer R,13.00,4
2024-09-17,Customer S,26.50,2
2024-09-18,Customer T,21.00,6
2024-09-19,Customer U,28.50,3
2024-09-20,Customer V,16.25,5
2024-09-21,Customer W,24.00,2
2024-09-22,Customer X,14.00,4
2024-09-23,Customer Y,29.75,3
2024-09-24,Customer Z,18.00,2
2024-09-25,Customer A,23.50,4
2024-09-26,Customer B,12.00,5
2024-09-27,Customer C,15.75,3
2024-09-28,Customer D,26.00,2
2024-09-29,Customer E,17.00,6
2024-09-30,Customer F,22.50,4
2024-10-01,Customer G,19.00,3
2024-10-02,Customer H,27.00,2
2024-10-03,Customer I,16.50,5
2024-10-04,Customer J,30.00,4
2024-10-05,Customer K,20.00,3
2024-10-06,Customer L,14.25,2
2024-10-07,Customer M,18.75,6
2024-10-08,Customer N,23.00,4
2024-10-09,Customer O,25.50,2
2024-10-10,Customer P,12.75,5
2024-10-11,Customer Q,27.00,3
2024-10-12,Customer R,19.25,4
2024-10-13,Customer S,30.00,2
2024-10-14,Customer T,22.00,6
2024-10-15,Customer U,13.50,4
2024-10-16,Customer V,24.75,2
2024-10-17,Customer W,16.00,5
2024-10-18,Customer X,28.00,3
2024-10-19,Customer Y,20.50,4
2024-10-20,Customer Z,15.75,2
2024-10-21,Customer A,30.00,3
2024-10-22,Customer B,18.25,6
2024-10-23,Customer C,12.00,4
2024-10-24,Customer D,25.00,2
2024-10-25,Customer E,29.50,3
2024-10-26,Customer F,14.75,5
2024-10-27,Customer G,27.00,2
2024-10-28,Customer H,19.00,6
2024-10-29,Customer I,22.75,4
2024-10-30,Customer J,16.25,3
