date,product_name,store_name,inventory_level
2024-08-01,Product A,Store Y,50
2024-08-02,Product B,Store X,30
2024-08-03,Product C,Store Z,20
2024-08-04,Product D,Store Y,45
2024-08-05,Product E,Store X,55
2024-08-06,Product F,Store Z,25
2024-08-07,Product G,Store Y,60
2024-08-08,Product H,Store X,40
2024-08-09,Product I,Store Z,30
2024-08-10,Product J,Store Y,35
2024-08-11,Product K,Store X,25
2024-08-12,Product L,Store Z,15
2024-08-13,Product M,Store Y,55
2024-08-14,Product N,Store X,45
2024-08-15,Product O,Store Z,20
2024-08-16,Product P,Store Y,50
2024-08-17,Product Q,Store X,35
2024-08-18,Product R,Store Z,25
2024-08-19,Product S,Store Y,40
2024-08-20,Product T,Store X,60
2024-08-21,Product U,Store Z,30
2024-08-22,Product V,Store Y,45
2024-08-23,Product W,Store X,55
2024-08-24,Product X,Store Z,40
2024-08-25,Product Y,Store Y,30
2024-08-26,Product Z,Store X,25
2024-08-27,Product A,Store Z,35
2024-08-28,Product B,Store Y,50
2024-08-29,Product C,Store X,20
2024-08-30,Product D,Store Z,45
2024-08-31,Product E,Store Y,60
2024-09-01,Product F,Store X,30
2024-09-02,Product G,Store Z,20
2024-09-03,Product H,Store Y,40
2024-09-04,Product I,Store X,55
2024-09-05,Product J,Store Z,35
2024-09-06,Product K,Store Y,50
2024-09-07,Product L,Store X,25
2024-09-08,Product M,Store Z,30
2024-09-09,Product N,Store Y,60
2024-09-10,Product O,Store X,45
2024-09-11,Product P,Store Z,25
2024-09-12,Product Q,Store Y,55
2024-09-13,Product R,Store X,35
2024-09-14,Product S,Store Z,20
2024-09-15,Product T,Store Y,40
2024-09-16,Product U,Store X,50
2024-09-17,Product V,Store Z,30
2024-09-18,Product W,Store Y,25
2024-09-19,Product X,Store X,45
2024-09-20,Product Y,Store Z,35
2024-09-21,Product Z,Store Y,40
2024-09-22,Product A,Store X,55
2024-09-23,Product B,Store Z,20
2024-09-24,Product C,Store Y,30
2024-09-25,Product D,Store X,60
2024-09-26,Product E,Store Z,25
2024-09-27,Product F,Store Y,50
2024-09-28,Product G,Store X,35
2024-09-29,Product H,Store Z,45
2024-09-30,Product I,Store Y,20
2024-10-01,Product J,Store X,30
2024-10-02,Product K,Store Z,55
2024-10-03,Product L,Store Y,40
2024-10-04,Product M,Store X,20
2024-10-05,Product N,Store Z,30
2024-10-06,Product O,Store Y,45
2024-10-07,Product P,Store X,50
2024-10-08,Product Q,Store Z,35
2024-10-09,Product R,Store Y,25
2024-10-10,Product S,Store X,40
2024-10-11,Product T,Store Z,60
2024-10-12,Product U,Store Y,20
2024-10-13,Product V,Store X,30
2024-10-14,Product W,Store Z,50
2024-10-15,Product X,Store Y,35
2024-10-16,Product Y,Store X,45
2024-10-17,Product Z,Store Z,25
2024-10-18,Product A,Store Y,50
2024-10-19,Product B,Store X,60
2024-10-20,Product C,Store Z,30
2024-10-21,Product D,Store Y,20
2024-10-22,Product E,Store X,35
2024-10-23,Product F,Store Z,40
2024-10-24,Product G,Store Y,45
2024-10-25,Product H,Store X,25
2024-10-26,Product I,Store Z,30
2024-10-27,Product J,Store Y,20
2024-10-28,Product K,Store X,55
2024-10-29,Product L,Store Z,25
2024-10-30,Product M,Store Y,35
